Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,MACD,MACD_Signal,MACD_Diff,RSI,Volume_Change,Bollinger_High,Bollinger_Low,Bollinger_Width,Stochastic_%K,Stochastic_%D,ADX,ADX_Pos_Directional,ADX_Neg_Directional,Trend,Reversal
2023-11-08 10:00:00,35290.74,35417.14,35288.68,35398.22,1117.85363,-2.09006402543759,-2.099883033633257,-2.0933735652242578,-2.097496117995979,0.1531512576612508,0.17833228769432724,-0.04606248125639593,0.6499015021882228,-0.3393973882728145,-2.0918287967554834,-2.0801484816767366,-0.20778956600282228,-0.38211485406377743,-1.1233037776928358,-0.38176490263173224,0.2171477469543863,-0.5037485440608254,0,0
2023-11-08 11:00:00,35398.21,35437.09,35310.47,35330.79,918.84991,-2.0872219655733213,-2.099486868770227,-2.0925773188129226,-2.0968136261413672,0.14492270407329588,0.173855145726453,-0.05925961604186326,0.3527810873203168,-0.4213856203910924,-2.0955136141821757,-2.070567207810626,-0.3860652304338343,-0.05862788451091018,-0.6609542883862474,-0.4219001241005952,0.16925864020966724,-0.617862879412088,1,1
2023-11-08 12:00:00,35330.8,35395.28,35316.13,35391.09,787.35702,-2.083877803493055,-2.0990529118030423,-2.091321069689279,-2.0959371998738527,0.1496893560833813,0.17129012160732912,-0.03577633139766699,0.555440447942695,-0.3786236580972786,-2.1029865213635253,-2.056048780695516,-0.681241983312828,1.1182232267439178,0.24617166205883542,-0.4591685440359677,0.06917487416976077,-0.6878650051948743,1,0
2023-11-08 13:00:00,35391.09,35469.29,35301.0,35409.99,1107.844,-2.081266862644916,-2.0987220631752503,-2.0900165148351197,-2.0950259690133426,0.15512041736264204,0.17039650504865814,-0.015249280973329218,0.6189113551741381,0.29512589505420445,-2.1099423156840538,-2.0435538548745926,-0.9419283583070649,1.0200461620484154,0.7551576683431603,-0.45015886503599695,0.282638060141115,-0.8307480623029138,0,1
2023-11-08 14:00:00,35410.0,35429.38,35258.0,35310.34,1215.56836,-2.0815777100285215,-2.0985283134183983,-2.0897217095672374,-2.0945151930173775,0.13391344534722474,0.16515833114715314,-0.06860607422824164,0.16064211849507062,-0.08428161619394274,-2.1101660562281475,-2.0439535864841734,-0.9396622036869853,-0.23422578796893925,0.6914154343443719,-0.4801495176027924,0.05941048085706014,-0.7290364639843706,0,0
2023-11-08 15:00:00,35310.34,35330.11,35100.0,35225.68,1688.77027,-2.082642153671498,-2.0981643314764113,-2.0902072836563623,-2.09433430417491,0.09550412260181776,0.15277538500041712,-0.1563531346211774,-0.18935221113573827,0.27337940692044177,-2.1110166850531003,-2.045235040970354,-0.9342082215026485,-0.7370356831226321,0.01795438935349569,-0.5935461894009437,-0.2089592483917796,-0.07437131661651192,1,1
2023-11-08 16:00:00,35225.67,35479.45,35185.0,35406.42,1693.42671,-2.0836311584264173,-2.0977796645070024,-2.0890405272688293,-2.093498998216586,0.10471672977033904,0.14483400487241693,-0.10180494913557836,0.460665813532124,-0.19998918845571076,-2.116324786962673,-2.04175332853015,-1.0526885691010532,1.0360382702432176,0.023759542391274976,-0.6420057992310637,0.26792623661320075,-0.37670653773254864,0,1
2023-11-08 17:00:00,35406.42,35436.56,35224.38,35313.72,1117.69041,-2.0843861534290773,-2.0973458938914167,-2.0888086379625945,-2.0930357325835307,0.08863545322790825,0.13505089072274284,-0.1244238291895105,0.0904494608520878,-0.6197332501231031,-2.1186571574350213,-2.0408740506222336,-1.0961401110903246,0.10890683890056019,0.1483170670758594,-0.6870040083590321,0.019340184413547786,-0.5653245794758246,1,1
2023-11-08 18:00:00,35313.72,35625.16,35288.2,35589.57,1493.41109,-2.0829524881825647,-2.0961861719891193,-2.0861475849457087,-2.0915810195734372,0.13715888412120575,0.13757406629997335,0.026713353468822146,0.8823643717188836,0.20831705869989584,-2.113022359303852,-2.043790823003074,-0.9806762368399398,1.509252762146305,0.9637222677497448,-0.6364332478958166,0.5792728316162333,-0.8225778762608842,1,0
2023-11-08 19:00:00,35589.56,35768.84,35536.62,35621.99,2059.32812,-2.08191336179312,-2.094992906799111,-2.0834518761047147,-2.0900646965025955,0.18010535342309922,0.14875275153084772,0.13301422664457271,0.9605232138230627,0.26071395249696255,-2.108291487323783,-2.04657378941933,-0.8793724006545527,0.9332061682617908,0.9263941005108117,-0.5352689999439076,0.9745840165251165,-0.9746784453072079,0,1
2023-11-08 20:00:00,35622.0,35761.28,35450.01,35616.93,2032.58555,-2.080714592169618,-2.09375119019352,-2.0810578654301244,-2.0886263567486685,0.20962627612852422,0.16399228078715775,0.18288665276480923,0.9388533034585962,-0.21926962511751738,-2.104273747064814,-2.0482950908195985,-0.8019289323962352,0.9044954269385131,1.2151936416602431,-0.5034893869955891,0.5735183592068455,-0.7737184534239535,0,0
